tracks,artist,id,year,valence,real gdp growth,unemployment rate
Hanging By A Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,2001,0.435,1.00%,5.70%
How You Remind Me,Nickelback,0gmbgwZ8iqyMPmXefof8Yf,2002,0.543,1.70%,6.00%
In Da Club,50 Cent,4RY96Asd9IefaL3X4LOLZ8,2003,0.805,2.90%,5.70%
Yeah! (feat. Lil Jon & Ludacris),Usher,5rb9QrpfcKFHM1EUbSIurX,2004,0.583,3.80%,5.40%
We Belong Together,Mariah Carey,3LmvfNUQtglbTrydsdIqFU,2005,0.762,3.50%,4.90%
Bad Day,Daniel Powter,0mUyMawtxj1CJ76kn9gIZK,2006,0.52,2.70%,4.40%
Irreplaceable,Beyoncé,6RX5iL93VZ5fKmyvNXvF1r,2007,0.509,1.80%,5.00%
Low (feat. T-Pain),Flo Rida,0CAfXk7DXMnon4gLudAp7J,2008,0.304,-0.10%,7.30%
Boom Boom Pow,The Black Eyed Peas,7xRNsqOQOgWbHV1nbXnfXN,2009,0.402,-2.50%,9.90%
TiK ToK,Kesha,0HPD5WQqrq7wPWR7P7Dw1i,2010,0.714,2.60%,9.30%
Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X,2011,0.522,1.60%,8.50%
Somebody That I Used To Know,Gotye,4wCmqSrbyCgxEXROQE6vtV,2012,0.72,2.20%,7.80%
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,4YMqbFcDIFiCBd02PzUBcM,2013,0.662,1.80%,6.70%
"Happy - From ""Despicable Me 2""",Pharrell Williams,60nZcImufyMA1MKQY3dcCH,2014,0.962,2.50%,5.60%
Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,2015,0.928,2.90%,5.00%
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,2016,0.515,1.60%,4.70%
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,2017,0.931,2.40%,4.10%
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,2018,0.357,2.90%,3.90%
Old Town Road - Remix,Lil Nas X,2YpeDb67231RjR0MgVLzsG,2019,0.639,2.30%,3.50%
